Time Gx Gy Gz
s m/s^2 m/s^2 m/s^2
0 3.62E-04 3.62E-04 9.653301
0.2 3.62E-04 3.62E-04 9.806528
0.403 3.62E-04 -0.152865 9.806528
0.605 3.62E-04 -0.152865 9.806528
0.806 3.62E-04 -0.152865 9.806528
1.008 3.62E-04 3.62E-04 9.806528
1.208 3.62E-04 3.62E-04 9.653301
1.409 -0.152865 -0.459319 9.500074
1.61 3.62E-04 0.306816 10.112982
1.81 -0.152865 -0.459319 9.500074
2.011 3.62E-04 1.072951 9.500074
2.212 3.62E-04 -1.685135 10.266209
2.412 -0.152865 -4.136767 10.112982
2.412 -0.152865 -3.523859 9.959755
2.612 -0.152865 -3.217405 10.266209
2.814 -0.152865 -3.064178 9.653301
3.014 -0.152865 -2.910951 10.266209
3.215 3.62E-04 -2.757724 9.806528
3.416 3.62E-04 -2.910951 10.112982
3.616 3.62E-04 -3.830313 9.806528
3.817 3.62E-04 -3.830313 10.112982
4.017 3.62E-04 -3.677086 10.112982
4.217 -0.152865 -3.523859 9.806528
4.418 -0.152865 -3.523859 9.959755
4.618 3.62E-04 -4.289994 10.112982
4.819 3.62E-04 -4.136767 10.419436
4.819 3.62E-04 -4.136767 10.112982
5.019 3.62E-04 -4.289994 9.959755
5.222 -0.152865 -4.136767 10.112982
5.423 -0.152865 -4.136767 10.419436
5.624 0.153589 -3.98354 9.959755
5.825 0.153589 -3.677086 10.112982
6.025 -0.152865 -3.370632 9.806528
6.225 0.153589 -3.370632 10.72589
6.426 0.460043 -2.910951 9.959755
6.626 0.61327 -2.144816 9.653301
6.828 0.460043 -1.685135 9.653301
7.029 0.153589 -1.378681 10.266209
7.229 3.62E-04 -0.919 9.653301
7.229 0.460043 -0.765773 9.959755
7.43 0.460043 -0.765773 9.959755
7.63 0.306816 -0.765773 9.653301
7.831 0.306816 -0.765773 9.806528
8.032 1.072951 -0.765773 9.653301
8.233 0.766497 -0.612546 9.653301
8.433 0.460043 -0.765773 9.19362
8.633 0.460043 -0.612546 9.806528
8.833 0.61327 -0.765773 9.959755
9.033 0.460043 -0.612546 9.959755
9.033 0.153589 -0.612546 9.959755
9.234 3.62E-04 -0.612546 9.959755
9.435 0.153589 -0.612546 9.806528
9.636 0.306816 -0.765773 9.959755
9.837 0.153589 -0.765773 9.959755
10.038 0.460043 -0.765773 9.959755
10.239 0.460043 -0.612546 9.959755
10.439 0.306816 -0.765773 9.500074
10.639 0.460043 -0.612546 9.806528
10.839 0.460043 -0.152865 9.806528
11.04 0.61327 0.153589 9.959755
11.241 0.61327 0.460043 9.653301
11.442 0.61327 0.460043 9.500074
11.642 0.766497 0.61327 9.500074
11.842 0.61327 0.766497 9.653301
12.042 0.61327 0.766497 9.500074
12.243 0.460043 0.766497 9.500074
12.443 0.460043 0.919724 9.806528
12.443 0.460043 0.766497 9.653301
12.643 0.61327 0.766497 9.653301
12.844 0.61327 0.766497 9.346847
13.045 0.61327 0.766497 9.500074
13.245 0.766497 0.766497 9.959755
13.447 0.61327 1.072951 9.653301
13.647 0.61327 1.072951 9.959755
13.847 0.919724 0.61327 9.346847
14.047 0.919724 -0.152865 9.500074
14.248 0.61327 -0.306092 9.806528
14.448 0.460043 -0.306092 9.806528
14.648 0.61327 -0.306092 9.806528
14.848 0.61327 0.61327 9.500074
14.848 0.766497 1.226178 9.653301
15.049 0.61327 1.226178 9.500074
15.25 0.766497 1.072951 9.959755
15.451 0.766497 1.226178 9.653301
15.651 0.919724 1.226178 9.806528
15.852 0.766497 1.379405 9.500074
16.052 0.766497 1.379405 9.653301
16.254 0.919724 1.379405 9.806528
16.454 0.766497 1.379405 9.19362
16.655 0.766497 1.379405 9.500074
16.855 0.61327 1.379405 9.806528
17.055 0.460043 1.379405 9.653301
17.255 0.766497 1.379405 9.500074
17.255 0.919724 1.379405 9.500074
17.455 0.766497 1.226178 9.346847
17.656 1.379405 1.226178 9.346847
17.856 1.685859 1.226178 9.346847
18.056 1.532632 1.226178 9.500074
18.457 1.992313 1.226178 8.887166
18.457 3.218129 1.226178 9.959755
18.858 3.371356 1.072951 9.959755
19.059 3.371356 1.072951 9.500074
19.059 3.524583 1.072951 9.500074
19.259 3.831037 1.072951 9.500074
19.46 3.524583 0.919724 9.500074
19.661 3.831037 1.072951 9.806528
19.861 3.064902 0.919724 9.040393
20.062 2.911675 1.072951 9.500074
20.262 0.919724 1.379405 9.806528
20.463 -0.919 1.226178 9.500074
20.663 -1.225454 1.072951 9.500074
20.864 -1.072227 1.072951 9.346847
21.065 -1.378681 1.072951 9.500074
